Sample in Buffer,Sample in Window,TRIGGER,mipi_phy_inst/lane1_byte_data[7:0],mipi_phy_inst/lane0_byte_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
1150,1150,0,f6,6c
1151,1151,0,46,f2
1152,1152,0,47,6e
1153,1153,0,4b,73
1154,1154,0,f7,5e
1155,1155,0,86,6c
1156,1156,0,f6,0a
1157,1157,0,f5,72
1158,1158,0,45,75
1159,1159,0,b7,6a
1160,1160,0,77,64
1161,1161,0,96,9b
1162,1162,0,6,72
1163,1163,0,e2,74
1164,1164,0,76,70
1165,1165,0,d7,6a
1166,1166,0,a6,ba
1167,1167,0,a6,72
1168,1168,0,31,6a
1169,1169,0,f7,70
1170,1170,0,56,71
1171,1171,0,6,64
1172,1172,0,47,72
1173,1173,0,13,7c
